ano,departamento,municipio,area_sembrada_ha,area_cosechada_ha,produccion_ton,rendimiento_ton_ha,precipitacion_mm,temperatura_c,rendimiento_lag1,rendimiento_lag2,rendimiento_media_movil_3y,tendencia_rendimiento_3y,precipitacion_total_mm,anomalia_precipitacion,anomalia_temperatura,ratio_area_cosechada_sembrada,fuente
2020,HUILA,ACEVEDO,840.8,818.6,749.5,0.916,1783.4,21.88,0.901,,0.901,,1783.4,146.75,0.4816666666666656,0.9735965746907708,SINTETICO_DEMO_NO_USAR_EN_ENTREGA_FINAL
2021,HUILA,ACEVEDO,865.2,747.5,693.7,0.928,1650.1,20.66,0.916,0.901,0.9085000000000001,,1650.1,13.449999999999818,-0.7383333333333333,0.863962089690245,SINTETICO_DEMO_NO_USAR_EN_ENTREGA_FINAL
2022,HUILA,ACEVEDO,752.0,684.0,703.0,1.028,1397.0,21.52,0.928,0.916,0.915,0.009000000000000008,1397.0,-239.6500000000001,0.12166666666666615,0.9095744680851063,SINTETICO_DEMO_NO_USAR_EN_ENTREGA_FINAL
2023,HUILA,ACEVEDO,737.9,714.1,768.8,1.077,1389.6,21.88,1.028,0.928,0.9573333333333333,0.03733333333333333,1389.6,-247.05000000000018,0.4816666666666656,0.9677463070876813,SINTETICO_DEMO_NO_USAR_EN_ENTREGA_FINAL
2024,HUILA,ACEVEDO,760.7,668.0,697.1,1.044,1821.3,20.78,1.077,1.028,1.0110000000000001,0.04966666666666664,1821.3,184.64999999999986,-0.6183333333333323,0.878138556592612,SINTETICO_DEMO_NO_USAR_EN_ENTREGA_FINAL
2020,ANTIOQUIA,ANDES,916.7,805.9,830.3,1.03,2369.0,19.55,0.911,,0.911,,2369.0,284.3833333333332,-1.1166666666666671,0.8791316679393476,SINTETICO_DEMO_NO_USAR_EN_ENTREGA_FINAL
2021,ANTIOQUIA,ANDES,898.4,860.2,880.9,1.024,2196.6,20.71,1.03,0.911,0.9705,,2196.6,111.98333333333312,0.043333333333333,0.957479964381122,SINTETICO_DEMO_NO_USAR_EN_ENTREGA_FINAL
2022,ANTIOQUIA,ANDES,871.4,826.8,794.8,0.961,2180.0,21.87,1.024,1.03,0.9883333333333333,0.03766666666666666,2180.0,95.38333333333321,1.2033333333333331,0.9488179940325911,SINTETICO_DEMO_NO_USAR_EN_ENTREGA_FINAL
2023,ANTIOQUIA,ANDES,803.4,715.6,788.5,1.102,2066.5,20.92,0.961,1.024,1.0050000000000001,-0.02300000000000002,2066.5,-18.116666666666788,0.25333333333333385,0.8907144635299976,SINTETICO_DEMO_NO_USAR_EN_ENTREGA_FINAL
2024,ANTIOQUIA,ANDES,930.9,843.8,725.2,0.859,1801.9,20.79,1.102,0.961,1.029,0.026000000000000023,1801.9,-282.7166666666667,0.1233333333333313,0.9064346331507144,SINTETICO_DEMO_NO_USAR_EN_ENTREGA_FINAL
2020,NARIÑO,ARBOLEDA,1204.3,1030.4,983.3,0.954,1623.9,18.83,0.993,,0.993,,1623.9,162.4666666666667,-0.03500000000000014,0.8556007639292537,SINTETICO_DEMO_NO_USAR_EN_ENTREGA_FINAL
2021,NARIÑO,ARBOLEDA,1273.5,1097.8,1047.7,0.954,1396.7,18.9,0.954,0.993,0.9735,,1396.7,-64.73333333333335,0.03500000000000014,0.8620337652139772,SINTETICO_DEMO_NO_USAR_EN_ENTREGA_FINAL
2022,NARIÑO,ARBOLEDA,1150.9,1092.4,990.1,0.906,1522.0,18.95,0.954,0.954,0.967,-0.013000000000000012,1522.0,60.566666666666606,0.08500000000000085,0.9491702146146495,SINTETICO_DEMO_NO_USAR_EN_ENTREGA_FINAL
2023,NARIÑO,ARBOLEDA,1141.2,1050.0,972.0,0.926,1415.5,18.08,0.906,0.954,0.9380000000000001,-0.015999999999999976,1415.5,-45.933333333333394,-0.7850000000000001,0.9200841219768664,SINTETICO_DEMO_NO_USAR_EN_ENTREGA_FINAL
2024,NARIÑO,ARBOLEDA,1176.5,1133.3,1000.4,0.883,1390.0,19.71,0.926,0.906,0.9286666666666666,-0.009333333333333305,1390.0,-71.4333333333334,0.8450000000000024,0.9632809179770505,SINTETICO_DEMO_NO_USAR_EN_ENTREGA_FINAL
2020,BOYACA,BOYACA-M1,812.4,711.5,703.5,0.989,1626.9,20.57,0.942,,0.942,,1626.9,-111.59999999999991,0.5016666666666687,0.8758000984736584,SINTETICO_DEMO_NO_USAR_EN_ENTREGA_FINAL
2021,BOYACA,BOYACA-M1,836.9,741.1,727.4,0.981,1774.2,19.96,0.989,0.942,0.9655,,1774.2,35.700000000000045,-0.10833333333333073,0.8855299318915044,SINTETICO_DEMO_NO_USAR_EN_ENTREGA_FINAL
2022,BOYACA,BOYACA-M1,974.4,864.1,744.9,0.862,1529.6,19.01,0.981,0.989,0.9706666666666667,0.013000000000000012,1529.6,-208.9000000000001,-1.05833333333333,0.8868021346469622,SINTETICO_DEMO_NO_USAR_EN_ENTREGA_FINAL
2023,BOYACA,BOYACA-M1,875.9,830.3,799.5,0.963,2027.3,21.29,0.862,0.981,0.944,-0.042333333333333334,2027.3,288.79999999999995,1.2216666666666676,0.947939262472885,SINTETICO_DEMO_NO_USAR_EN_ENTREGA_FINAL
2024,BOYACA,BOYACA-M1,849.5,808.1,810.5,1.003,1640.9,19.29,0.963,0.862,0.9353333333333333,-0.006000000000000005,1640.9,-97.59999999999991,-0.7783333333333324,0.9512654502648618,SINTETICO_DEMO_NO_USAR_EN_ENTREGA_FINAL
2020,BOYACA,BOYACA-M2,950.4,835.6,877.4,1.05,1626.9,20.57,0.966,,0.966,,1626.9,-111.59999999999991,0.5016666666666687,0.8792087542087542,SINTETICO_DEMO_NO_USAR_EN_ENTREGA_FINAL
