departamento,municipio,rendimiento_promedio,rendimiento_variabilidad,tendencia_promedio,cluster,perfil
ANTIOQUIA,ANDES,0.9952,0.09105877222980781,0.013555555555555534,0,Rendimiento bajo — requiere atención
ANTIOQUIA,CIUDAD BOLIVAR,0.7196,0.0754373912592423,-0.03255555555555553,1,Rendimiento medio — monitoreo estándar
ANTIOQUIA,JARDIN,0.9475999999999999,0.11993456549302205,0.013666666666666633,0,Rendimiento bajo — requiere atención
ANTIOQUIA,URRAO,0.9406000000000001,0.06693130807028952,-0.011222222222222236,1,Rendimiento medio — monitoreo estándar
BOYACA,BOYACA-M1,0.9596,0.05644289149219764,-0.011777777777777767,2,Rendimiento alto — buen desempeño
BOYACA,BOYACA-M2,0.9800000000000001,0.049799598391954976,-0.016666666666666666,2,Rendimiento alto — buen desempeño
CALDAS,CHINCHINA,0.8859999999999999,0.022549944567559384,-0.00033333333333333245,2,Rendimiento alto — buen desempeño
CALDAS,MANIZALES,1.1212,0.04256406935432744,0.0037777777777777666,2,Rendimiento alto — buen desempeño
CALDAS,PALESTINA,0.7878000000000001,0.0791277448181104,0.013555555555555565,0,Rendimiento bajo — requiere atención
CAUCA,MORALES,0.8778,0.08150276068943924,-0.020444444444444432,1,Rendimiento medio — monitoreo estándar
CAUCA,PIENDAMO,0.8054,0.07333689385295782,0.022999999999999965,0,Rendimiento bajo — requiere atención
CAUCA,POPAYAN,1.0606,0.05796378179518661,-0.006999999999999999,2,Rendimiento alto — buen desempeño
CAUCA,TIMBIO,0.8126,0.08661870467745403,-0.006555555555555534,1,Rendimiento medio — monitoreo estándar
CUNDINAMARCA,CUNDINAMARCA-M1,0.6088,0.0443813023693537,0.013777777777777766,0,Rendimiento bajo — requiere atención
CUNDINAMARCA,CUNDINAMARCA-M2,1.2356,0.02388095475478315,0.0272222222222222,2,Rendimiento alto — buen desempeño
HUILA,ACEVEDO,0.9986,0.07224818336816505,0.031999999999999966,0,Rendimiento bajo — requiere atención
HUILA,GARZON,0.9164,0.08176062622069374,-0.013222222222222232,1,Rendimiento medio — monitoreo estándar
HUILA,ISNOS,0.8446,0.09008773501426261,-0.0004444444444444302,0,Rendimiento bajo — requiere atención
HUILA,PITALITO,0.853,0.038878014352587496,0.034444444444444396,0,Rendimiento bajo — requiere atención
HUILA,TIMANA,0.7626000000000001,0.0943414013039874,0.002666666666666632,0,Rendimiento bajo — requiere atención
MAGDALENA,MAGDALENA-M1,0.9388,0.0813154351891447,-0.010000000000000002,1,Rendimiento medio — monitoreo estándar
MAGDALENA,MAGDALENA-M2,1.0366,0.0998939437603702,-0.04511111111111107,1,Rendimiento medio — monitoreo estándar
META,META-M1,0.8912000000000001,0.09154343231493996,-0.009333333333333268,1,Rendimiento medio — monitoreo estándar
META,META-M2,1.2066000000000001,0.1639826210304007,-0.008222222222222233,1,Rendimiento medio — monitoreo estándar
NARIÑO,ARBOLEDA,0.9246000000000001,0.030851256052225762,-0.012777777777777733,2,Rendimiento alto — buen desempeño
NARIÑO,BUESACO,0.9332,0.06878008432678749,-0.015666666666666666,1,Rendimiento medio — monitoreo estándar
NARIÑO,CONSACA,0.6314,0.10146575777078691,0.012777777777777765,0,Rendimiento bajo — requiere atención
NARIÑO,EL TAMBO,0.97,0.05846366392897391,-0.0023333333333333327,2,Rendimiento alto — buen desempeño
NARIÑO,LA FLORIDA,0.8852,0.09184606687278447,0.011222222222222236,0,Rendimiento bajo — requiere atención
NARIÑO,LINARES,0.8848,0.08951368610441648,0.027444444444444435,0,Rendimiento bajo — requiere atención
